bloaz,pH_KCl,KA,Ossz_so,CaCO3,Humusz,NO3_N,P2O5,K2O,Mg,Na,Zn,Cu,Mn,SO4,pH_KCl_range,KA_range,Ossz_so_range,CaCO3_range,Humusz_range,NO3_N_range,P2O5_range,K2O_range,Mg_range,Na_range,Zn_range,Cu_range,Mn_range,SO4_range
U5P21114,7.02,50,0.08,0.1,3.46,26.3,111,350.17,360.2,34.68,1.762,3.09,385.5,5,50%-75%,Upper-range,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,Upper-range,Low-range
U20MQH14,6.86,55,0.11,0.1,3.0606,19.5,87.91,516.7,493.8,51.5,1.565,4.61,140.7,5.1,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,50%-75%,50%-75%
X0574L12,7.25,40,0.025,6.23,2.87,18.87,1363,430.67,224,33.05,2.121,2.035,33.01,6.26,50%-75%,Low-range,50%-75%,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,Upper-range,25%-50%,Low-range,50%-75%
UC6N1A14,6.98,53,0.07,2.49,3.28,29,142,308,307,28,5.2,2.9,234,16.5,50%-75%,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,25%-50%,Upper-range,50%-75%,Upper-range,Upper-range
UFTN3414,7.15,50,0.075,1.06,3.27,27.1,87,377,321,50.5,1.55,2.82,199,5,50%-75%,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,Low-range
E57V7615,5.99,62,0.11,0.1,3.0325,5.45,16.46,355.72,1058,151,1.385,6.08,79.96,5,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,Low-range,Low-range,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,25%-50%,Low-range
L596XF15,6.5,44,0.02,0.2,2.5,31.7,39.5,216.9,300.6,17.9,0.8,3.7,420.7,5,25%-50%,25%-50%,Low-range,Low-range,50%-75%,Upper-range,Low-range,25%-50%,50%-75%,Low-range,Low-range,50%-75%,Upper-range,Low-range
L56TXY15,6.5,44,0.02,0.2,2.5,31.7,39.5,216.9,300.6,17.9,0.8,3.7,420.7,5,25%-50%,25%-50%,Low-range,Low-range,50%-75%,Upper-range,Low-range,25%-50%,50%-75%,Low-range,Low-range,50%-75%,Upper-range,Low-range
H9HX6P15,7.5,38,0.02,8.2,2.4,12.1,285.9,315.4,235.4,49.3,1.6,1,14.5,5,Upper-range,Low-range,Low-range,Upper-range,50%-75%,25%-50%,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range,Low-range,Low-range
EAUK7N15,6.47,46,0.05,0.1,1.91,3.8,76,243,187,74.7,3.2,8.1,166,16.5,25%-50%,25%-50%,Upper-range,Low-range,25%-50%,Low-range,Low-range,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range
H6631815,7.21,49,0.05,5.06,3.41,11.12,296,354.27,249.7,59.11,2.573,2.446,40.09,6.975,50%-75%,Upper-range,Upper-range,Upper-range,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Upper-range,Upper-range,50%-75%,25%-50%,50%-75%
E7THNW15,6.6,62,0.04,0.2,1.8,11.9,116.7,257,1095.2,59.1,1.2,9.7,93.8,5,25%-50%,Upper-range,Upper-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range
E8FWN115,7.2,50,0.02,1.6,3.4,8.2,363.4,621,266.9,50.4,1.5,2.3,41.6,5,50%-75%,Upper-range,Low-range,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,25%-50%,25%-50%,Low-range
HEC05P15,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
HCDA6215,7.5,38,0.02,8.2,2.4,12.1,285.9,315.4,235.4,49.3,1.6,1,14.5,5,Upper-range,Low-range,Low-range,Upper-range,50%-75%,25%-50%,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range,Low-range,Low-range
H12L4K15,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
L2KQQY15,4.89,61.2,0.03,0.2,4.28599132723781,8.7009062908084,141.123584289469,293.231792,1061.5,42.464,5.0402,11.3842,53.1798,8.6,Low-range,Upper-range,50%-75%,Low-range,Upper-range,Low-range,25%-50%,50%-75%,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,Upper-range
E2J3FU15,7.3,48,0.03,1.2,2,36.7,2178,931.7,229.7,36.4,1.5,2.6,33.3,5,50%-75%,50%-75%,50%-75%,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,Low-range,Low-range
HV9X6315,7.5,38,0.02,8.2,2.4,12.1,285.9,315.4,235.4,49.3,1.6,1,14.5,5,Upper-range,Low-range,Low-range,Upper-range,50%-75%,25%-50%,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range,Low-range,Low-range
H2064415,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
HHUJ6U15,7.5,38,0.02,8.2,2.4,12.1,285.9,315.4,235.4,49.3,1.6,1,14.5,5,Upper-range,Low-range,Low-range,Upper-range,50%-75%,25%-50%,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range,Low-range,Low-range
TF0YUC15,4.8,28,0.02,0.2,0.5,2,47.8,192.90488,49.595,23.823078,1.0398,0.7428,48.584,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,25%-50%,Low-range,25%-50%,Low-range
F8PF7D15,5.2,52,0.02,0.2,1.9,15,48.2,163,455.4,25.6,3.1,6.6,238,5,Low-range,Upper-range,Low-range,Low-range,25%-50%,25%-50%,Low-range,25%-50%,Upper-range,25%-50%,Upper-range,Upper-range,Upper-range,Low-range
E1UPPY15,5.7,54,0.03,0.2,1.7,9.6,200.4,241.2,768.8,72.4,1.4,8.6,174.8,5,Low-range,Upper-range,50%-75%,Low-range,25%-50%,Low-range,50%-75%,50%-75%,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,Low-range
F0F4NY15,5.2,52,0.02,0.2,1.9,15,48.2,163,455.4,25.6,3.1,6.6,238,5,Low-range,Upper-range,Low-range,Low-range,25%-50%,25%-50%,Low-range,25%-50%,Upper-range,25%-50%,Upper-range,Upper-range,Upper-range,Low-range
EHNWF815,5.4,64,0.05,0.2,2,16.2,123.4,281.5,1261.9,83.2,2,21.7,124.8,5,Low-range,Upper-range,Upper-range,Low-range,25%-50%,50%-75%,25%-50%,50%-75%,Upper-range,Upper-range,Upper-range,Upper-range,50%-75%,Low-range
E5W25Y15,5.57,54,0.09,0.1,3.3807,8.27,62.71,384.4,1006,73.7,1.829,5.72,82.29,5,Low-range,Upper-range,Upper-range,Low-range,Upper-range,Low-range,Low-range,Upper-range,Upper-range,Upper-range,Upper-range,Upper-range,25%-50%,Low-range
E21PQ715,6.6,62,0.04,0.2,1.8,11.9,116.7,257,1095.2,59.1,1.2,9.7,93.8,5,25%-50%,Upper-range,Upper-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range
E3VWF215,7.3,48,0.03,1.2,2,36.7,2178,931.7,229.7,36.4,1.5,2.6,33.3,5,50%-75%,50%-75%,50%-75%,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,Low-range,Low-range
HDPX6115,7.5,38,0.02,8.2,2.4,12.1,285.9,315.4,235.4,49.3,1.6,1,14.5,5,Upper-range,Low-range,Low-range,Upper-range,50%-75%,25%-50%,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range,Low-range,Low-range
E7MPFQ15,5.4,64,0.05,0.2,2,16.2,123.4,281.5,1261.9,83.2,2,21.7,124.8,5,Low-range,Upper-range,Upper-range,Low-range,25%-50%,50%-75%,25%-50%,50%-75%,Upper-range,Upper-range,Upper-range,Upper-range,50%-75%,Low-range
ELUPNJ15,5.4,64,0.05,0.2,2,16.2,123.4,281.5,1261.9,83.2,2,21.7,124.8,5,Low-range,Upper-range,Upper-range,Low-range,25%-50%,50%-75%,25%-50%,50%-75%,Upper-range,Upper-range,Upper-range,Upper-range,50%-75%,Low-range
LQW7E615,4.8,28,0.02,0.2,0.5,2,47.8,192.90488,49.595,23.823078,1.0398,0.7428,48.584,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,25%-50%,Low-range,25%-50%,Low-range
YMUENQ12,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
F3HERJ15,4.2,44,0.02,0.2,1.7,2.6,8.4,163,327.8,14.6,1.4,2.1,292,5,Low-range,25%-50%,Low-range,Low-range,25%-50%,Low-range,Low-range,25%-50%,50%-75%,Low-range,50%-75%,25%-50%,Upper-range,Low-range
E62R7X15,6.47,46,0.05,0.1,1.91,3.8,76,243,187,74.7,3.2,8.1,166,16.5,25%-50%,25%-50%,Upper-range,Low-range,25%-50%,Low-range,Low-range,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range
YP56AJ12,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
YUEEKE12,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
LXDU9C15,7.4,40,0.03,1.2,1.9,33.8,295.2,324.6,209,30.7,1.1,1.4,32.3,5,Upper-range,Low-range,50%-75%,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,25%-50%,50%-75%,25%-50%,Low-range,Low-range,Low-range
F7YV2V15,5.2,52,0.02,0.2,1.9,15,48.2,163,455.4,25.6,3.1,6.6,238,5,Low-range,Upper-range,Low-range,Low-range,25%-50%,25%-50%,Low-range,25%-50%,Upper-range,25%-50%,Upper-range,Upper-range,Upper-range,Low-range
U5H21T14,7.02,50,0.08,0.1,3.46,26.3,111,350.17,360.2,34.68,1.762,3.09,385.5,5,50%-75%,Upper-range,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,Upper-range,Low-range
UKUV3F14,6.83,50,0.075,0.1,3.5,18.4,103.5,363.55,395.6,38.37,2.017,3.415,448.7,5,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,50%-75%,25%-50%,Upper-range,Upper-range,50%-75%,Upper-range,50%-75%,Upper-range,Low-range
YE40E412,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
YTMENP12,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
YUWLH112,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
T1CWET15,6.5,45,0.02,0.2,2,12.6,98.1,280.1,228,16.2,1.3,3.9,426.1,5,25%-50%,25%-50%,Low-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,25%-50%,Low-range,25%-50%,Upper-range,Upper-range,Low-range
YR5LJ712,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
E08WQL15,7.2,50,0.02,1.6,3.4,8.2,363.4,621,266.9,50.4,1.5,2.3,41.6,5,50%-75%,Upper-range,Low-range,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,25%-50%,25%-50%,Low-range
EC2WNP15,6.6,62,0.04,0.2,1.8,11.9,116.7,257,1095.2,59.1,1.2,9.7,93.8,5,25%-50%,Upper-range,Upper-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range
LWXE9F15,6.7,43,0.03,0.2,2.4,29.8,40.6,189.6,291.8,19,0.9,3.3,414.7,5,25%-50%,25%-50%,50%-75%,Low-range,50%-75%,Upper-range,Low-range,25%-50%,50%-75%,Low-range,Low-range,50%-75%,Upper-range,Low-range
T1XPH815,6.84,40,0.04,1,2.34,15.9,95,250,115,18.1,1.4,3.6,36,12.8,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%,Low-range,Low-range,50%-75%,50%-75%,25%-50%,Upper-range
HAEJPR15,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
L05LTE15,5.76,59,0.09,0.1,3.0475,4.77,23.55,331.01,1049,62.6,1.693,6,73.63,5,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,Low-range,Low-range,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,25%-50%,Low-range
F1YY0P15,6.5,45,0.02,0.2,2,12.6,98.1,280.1,228,16.2,1.3,3.9,426.1,5,25%-50%,25%-50%,Low-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,25%-50%,Low-range,25%-50%,Upper-range,Upper-range,Low-range
H82QPJ15,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
H654EN15,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
L2DXQ115,4.89,61.2,0.03,0.2,4.28599132723781,8.7009062908084,141.123584289469,293.231792,1061.5,42.464,5.0402,11.3842,53.1798,8.6,Low-range,Upper-range,50%-75%,Low-range,Upper-range,Low-range,25%-50%,50%-75%,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,Upper-range
EC1K7V15,6.47,46,0.05,0.1,1.91,3.8,76,243,187,74.7,3.2,8.1,166,16.5,25%-50%,25%-50%,Upper-range,Low-range,25%-50%,Low-range,Low-range,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range
Y08M4512,5.7,46,0.02,0.1,1.42,11.4,251,122,384,23.6,1,1.7,87,7.5,Low-range,25%-50%,Low-range,Low-range,Low-range,Low-range,50%-75%,Low-range,50%-75%,Low-range,Low-range,25%-50%,25%-50%,50%-75%
E7Q85315,5.99,62,0.11,0.1,3.0325,5.45,16.46,355.72,1058,151,1.385,6.08,79.96,5,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,Low-range,Low-range,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,25%-50%,Low-range
L0YRD115,7.3,40,0.02,1.4,2,35.5,137.7,180.2,109.4,19.2,1,2.7,53.4,5,50%-75%,Low-range,Low-range,50%-75%,25%-50%,Upper-range,25%-50%,25%-50%,Low-range,Low-range,Low-range,50%-75%,25%-50%,Low-range
THNCH415,6.5,45,0.02,0.2,2,12.6,98.1,280.1,228,16.2,1.3,3.9,426.1,5,25%-50%,25%-50%,Low-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,25%-50%,Low-range,25%-50%,Upper-range,Upper-range,Low-range
H6Y05315,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
DK2PUR13,7.4,37,0.02,3.3,2.4,6.9,348.9,334.8,229.9,42.3,1.7,1.5,32.6,5,Upper-range,Low-range,Low-range,Upper-range,50%-75%,Low-range,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,Low-range,Low-range,Low-range
DK2PWU13,7.5,38,0.02,8.2,2.4,12.1,285.9,315.4,235.4,49.3,1.6,1,14.5,5,Upper-range,Low-range,Low-range,Upper-range,50%-75%,25%-50%,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range,Low-range,Low-range
X4A0P812,7.8,32,0.02,7.7,1.2,5.5,374.12139684,345.321648,41.77125,31.75978,1.2414,0.9562,8.6758,5,Upper-range,Low-range,Low-range,Upper-range,Low-range,Low-range,Upper-range,Upper-range,Low-range,50%-75%,25%-50%,Low-range,Low-range,Low-range
DJR3UU13,7.4,37,0.02,3.3,2.4,6.9,348.9,334.8,229.9,42.3,1.7,1.5,32.6,5,Upper-range,Low-range,Low-range,Upper-range,50%-75%,Low-range,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,Low-range,Low-range,Low-range
XFJ5KU12,7.4,42,0.02,0.7,2,16.5,488.27632929,859.540416,103.06375,23.788486,1.981,2.2906,92.073,5,Upper-range,25%-50%,Low-range,50%-75%,25%-50%,50%-75%,Upper-range,Upper-range,Low-range,25%-50%,Upper-range,25%-50%,50%-75%,Low-range
XJLD7V12,5.7,25,0.02,0.2,0.8,24.2,538,214.015115398414,30.42,33.2676705066369,19.382,4.0762,25.844,8.3,Low-range,Low-range,Low-range,Low-range,Low-range,Upper-range,Upper-range,25%-50%,Low-range,50%-75%,Upper-range,Upper-range,Low-range,Upper-range
E25A0715,6,56,0.04,0.2,2.3,10.8,44.9,263.4,1083,60.8,2.4,10.6,126,10.2,25%-50%,Upper-range,Upper-range,Low-range,50%-75%,Low-range,Low-range,50%-75%,Upper-range,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range
E07V7115,5.77,58,0.11,0.1,3.1394,6.44,16.25,408.25,971.9,177,1.408,7.94,196.7,5,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,Low-range,Low-range,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,Low-range
E3THDH15,7.3,48,0.03,1.2,2,36.7,2178,931.7,229.7,36.4,1.5,2.6,33.3,5,50%-75%,50%-75%,50%-75%,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,Low-range,Low-range
E3RF7815,5.99,62,0.11,0.1,3.0325,5.45,16.46,355.72,1058,151,1.385,6.08,79.96,5,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,Low-range,Low-range,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,25%-50%,Low-range
L2XJQ515,4.89,61.2,0.03,0.2,4.28599132723781,8.7009062908084,141.123584289469,293.231792,1061.5,42.464,5.0402,11.3842,53.1798,8.6,Low-range,Upper-range,50%-75%,Low-range,Upper-range,Low-range,25%-50%,50%-75%,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,Upper-range
HJPT5Y15,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
RFHPL712,5.7,46,0.02,0.1,1.42,11.4,251,122,384,23.6,1,1.7,87,7.5,Low-range,25%-50%,Low-range,Low-range,Low-range,Low-range,50%-75%,Low-range,50%-75%,Low-range,Low-range,25%-50%,25%-50%,50%-75%
T2JPET15,6.5,45,0.02,0.2,2,12.6,98.1,280.1,228,16.2,1.3,3.9,426.1,5,25%-50%,25%-50%,Low-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,25%-50%,Low-range,25%-50%,Upper-range,Upper-range,Low-range
D1R3UA13,7.4,37,0.02,3.3,2.4,6.9,348.9,334.8,229.9,42.3,1.7,1.5,32.6,5,Upper-range,Low-range,Low-range,Upper-range,50%-75%,Low-range,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,Low-range,Low-range,Low-range
RP63LJ12,5.7,46,0.02,0.1,1.42,11.4,251,122,384,23.6,1,1.7,87,7.5,Low-range,25%-50%,Low-range,Low-range,Low-range,Low-range,50%-75%,Low-range,50%-75%,Low-range,Low-range,25%-50%,25%-50%,50%-75%
J9X60513,7,43,0.02,0.3,2.4,16.5,105.2,210.4,252.7,37.1,1.3,2.8,195.4,5,50%-75%,25%-50%,Low-range,50%-75%,50%-75%,50%-75%,25%-50%,25%-50%,25%-50%,50%-75%,25%-50%,50%-75%,Upper-range,Low-range
U6J7CD14,7.08,58,0.08,2.16,3.34,14.3,145,360,361,62,2.1,2.4,96.4,14.8,50%-75%,Upper-range,Upper-range,50%-75%,Upper-range,25%-50%,25%-50%,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,Upper-range
UDA7CD14,7.08,58,0.08,2.16,3.34,14.3,145,360,361,62,2.1,2.4,96.4,14.8,50%-75%,Upper-range,Upper-range,50%-75%,Upper-range,25%-50%,25%-50%,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,Upper-range
X4R67E12,5.7,25,0.02,0.2,0.8,24.2,538,214.015115398414,30.42,33.2676705066369,19.382,4.0762,25.844,8.3,Low-range,Low-range,Low-range,Low-range,Low-range,Upper-range,Upper-range,25%-50%,Low-range,50%-75%,Upper-range,Upper-range,Low-range,Upper-range
T2WHCW15,6.5,45,0.02,0.2,2,12.6,98.1,280.1,228,16.2,1.3,3.9,426.1,5,25%-50%,25%-50%,Low-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,25%-50%,Low-range,25%-50%,Upper-range,Upper-range,Low-range
UQ2W8214,6.83,50,0.075,0.1,3.5,18.4,103.5,363.55,395.6,38.37,2.017,3.415,448.7,5,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,50%-75%,25%-50%,Upper-range,Upper-range,50%-75%,Upper-range,50%-75%,Upper-range,Low-range
ECC9A215,7.1,50,0.03,4.3,2.5,27,1062.9,721.1,242.9,46.6,1.2,2.8,16.9,5,50%-75%,Upper-range,50%-75%,Upper-range,50%-75%,Upper-range,Upper-range,Upper-range,25%-50%,Upper-range,25%-50%,50%-75%,Low-range,Low-range
LRM9P915,6.6,48,0.02,0.2,1.8,3.2,46.3,270.3,315.8,31.2,1,5.3,198.1,5,25%-50%,50%-75%,Low-range,Low-range,25%-50%,Low-range,Low-range,50%-75%,50%-75%,50%-75%,Low-range,Upper-range,Upper-range,Low-range
T3M3D915,6.5,45,0.02,0.2,2,12.6,98.1,280.1,228,16.2,1.3,3.9,426.1,5,25%-50%,25%-50%,Low-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,25%-50%,Low-range,25%-50%,Upper-range,Upper-range,Low-range
E0Y99815,7.3,48,0.03,1.2,2,36.7,2178,931.7,229.7,36.4,1.5,2.6,33.3,5,50%-75%,50%-75%,50%-75%,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,Low-range,Low-range
XF56PM12,7.8,32,0.02,7.7,1.2,5.5,374.12139684,345.321648,41.77125,31.75978,1.2414,0.9562,8.6758,5,Upper-range,Low-range,Low-range,Upper-range,Low-range,Low-range,Upper-range,Upper-range,Low-range,50%-75%,25%-50%,Low-range,Low-range,Low-range
E3Y9DF15,7.3,48,0.03,1.2,2,36.7,2178,931.7,229.7,36.4,1.5,2.6,33.3,5,50%-75%,50%-75%,50%-75%,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,Low-range,Low-range
E2A3PV15,5.7,54,0.03,0.2,1.7,9.6,200.4,241.2,768.8,72.4,1.4,8.6,174.8,5,Low-range,Upper-range,50%-75%,Low-range,25%-50%,Low-range,50%-75%,50%-75%,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,Low-range
YC1E8712,5.7,46,0.02,0.1,1.42,11.4,251,122,384,23.6,1,1.7,87,7.5,Low-range,25%-50%,Low-range,Low-range,Low-range,Low-range,50%-75%,Low-range,50%-75%,Low-range,Low-range,25%-50%,25%-50%,50%-75%
L3MVDV15,6.5,44,0.02,0.2,2.5,31.7,39.5,216.9,300.6,17.9,0.8,3.7,420.7,5,25%-50%,25%-50%,Low-range,Low-range,50%-75%,Upper-range,Low-range,25%-50%,50%-75%,Low-range,Low-range,50%-75%,Upper-range,Low-range
L76XQY15,4.89,61.2,0.03,0.2,4.28599132723781,8.7009062908084,141.123584289469,293.231792,1061.5,42.464,5.0402,11.3842,53.1798,8.6,Low-range,Upper-range,50%-75%,Low-range,Upper-range,Low-range,25%-50%,50%-75%,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,Upper-range
J84AP513,7.5,42,0.02,1.6,2.4,21.8,305.3,402.1,131.8,34.5,3.1,1.4,9.7,5,Upper-range,25%-50%,Low-range,50%-75%,50%-75%,50%-75%,Upper-range,Upper-range,Low-range,50%-75%,Upper-range,Low-range,Low-range,Low-range
T0XPF615,6.5,45,0.02,0.2,2,12.6,98.1,280.1,228,16.2,1.3,3.9,426.1,5,25%-50%,25%-50%,Low-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,25%-50%,Low-range,25%-50%,Upper-range,Upper-range,Low-range
KJA97412,7.6,38,0.03,8.9,2.5,35.8,119.1,218.9,162.1,51.8,0.8,1.3,27.7,14.1,Upper-range,Low-range,50%-75%,Upper-range,50%-75%,Upper-range,25%-50%,50%-75%,25%-50%,Upper-range,Low-range,Low-range,Low-range,Upper-range
UAMV1X14,7.02,50,0.08,0.1,3.46,26.3,111,350.17,360.2,34.68,1.762,3.09,385.5,5,50%-75%,Upper-range,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,Upper-range,Low-range
